380	0.318755	0.309987667	0.301220333	0.292453	-151.5853054	-227.5285683	-303.4718311	-379.415094	-455.3583569	-531.3016197	-607.2448826	-683.1881455	-759.1314083	-835.0746712	-911.0179341
381	0.325613	0.316790667	0.307968333	0.299146	-151.9759022	-228.1178375	-304.2597727	-380.401708	-456.5436433	-532.6855785	-608.8275138	-684.9694491	-761.1113843	-837.2533196	-913.3952549
382	0.334325	0.32534	0.316355	0.30737	-152.364291	-228.704614	-305.044937	-381.38526	-457.725583	-534.065906	-610.406229	-686.746552	-763.086875	-839.427198	-915.767521
383	0.343022	0.333875	0.324728	0.315581	-152.7526984	-229.2914116	-305.8301248	-382.368838	-458.9075512	-535.4462644	-611.9849776	-688.5236908	-765.062404	-841.6011172	-918.1398304
384	0.350499	0.341187333	0.331875667	0.322564	-153.1428234	-229.8801729	-306.6175225	-383.354872	-460.0922215	-536.8295711	-613.5669206	-690.3042701	-767.0416197	-843.7789692	-920.5163187
385	0.357975	0.348499333	0.339023667	0.329548	-153.5329474	-230.4689329	-307.4049185	-384.340904	-461.2768895	-538.2128751	-615.1488606	-692.0848461	-769.0208317	-845.9568172	-922.8928027
386	0.369727	0.359916	0.350105	0.340294	-153.9177018	-231.0516052	-308.1855086	-385.319412	-462.4533154	-539.5872188	-616.7211222	-693.8550256	-770.988929	-848.1228324	-925.2567358
387	0.388799	0.378361333	0.367923667	0.357486	-154.293257	-231.6238473	-308.9544377	-386.285028	-463.6156183	-540.9462087	-618.276799	-695.6073893	-772.9379797	-850.26857	-927.5991603
388	0.407871	0.396806333	0.385741667	0.374677	-154.6688134	-232.1960909	-309.7233685	-387.250646	-464.7779235	-542.3052011	-619.8324786	-697.3597561	-774.8870337	-852.4143112	-929.9415887
389	0.421812	0.410445	0.399078	0.387711	-155.0503844	-232.7751156	-310.4998468	-388.224578	-465.9493092	-543.6740404	-621.3987716	-699.1235028	-776.848234	-854.5729652	-932.2976964
390	0.433861	0.422310667	0.410760333	0.39921	-155.4341758	-233.3566439	-311.2791119	-389.20158	-467.1240481	-545.0465161	-622.9689842	-700.8914523	-778.8139203	-856.7363884	-934.6588565
391	0.446153	0.434413667	0.422674333	0.410935	-155.8176474	-233.9378083	-312.0579691	-390.17813	-468.2982909	-546.4184517	-624.5386126	-702.6587735	-780.7789343	-858.8990952	-937.0192561
392	0.460715	0.448728667	0.436742333	0.424756	-156.1981498	-234.5155959	-312.8330419	-391.150488	-469.4679341	-547.7853801	-626.1028262	-704.4202723	-782.7377183	-861.0551644	-939.3726105
393	0.475278	0.463044333	0.450810667	0.438577	-156.578652	-235.0933833	-313.6081147	-392.122846	-470.6375773	-549.1523087	-627.66704	-706.1817713	-784.6965027	-863.211234	-941.7259653
